DATE,MEPAINUSA672N
1974-01-01,25326
1975-01-01,24846
1976-01-01,24896
1977-01-01,25084
1978-01-01,24877
1979-01-01,24193
1980-01-01,23826
1981-01-01,23382
1982-01-01,23629
1983-01-01,24091
1984-01-01,24788
1985-01-01,25324
1986-01-01,26105
1987-01-01,26454
1988-01-01,27287
1989-01-01,28006
1990-01-01,27705
1991-01-01,27299
1992-01-01,27025
1993-01-01,27289
1994-01-01,27625
1995-01-01,28383
1996-01-01,28985
1997-01-01,30257
1998-01-01,31758
1999-01-01,32079
2000-01-01,32431
2001-01-01,32146
2002-01-01,31913
2003-01-01,31986
2004-01-01,31889
2005-01-01,32320
2006-01-01,33197
2007-01-01,33321
2008-01-01,31953
2009-01-01,31606
2010-01-01,31142
2011-01-01,30667
2012-01-01,30484
2013-01-01,30804
2014-01-01,31473
2015-01-01,33040
2016-01-01,33545
2017-01-01,33750
2018-01-01,34745
2019-01-01,36426
2020-01-01,35805
